,id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
114,116,Donald Trump,Strip Club Luv,69 Boyz,positive,money,1998,Girl if your beauty was a dollar you'd be richer than Trump,http://genius.com/69-boyz-strip-club-luv-lyrics,968,,,1998,"['Girl', 'if', 'your', 'beauty', 'was', 'a', 'dollar', ""you'd"", 'be', 'richer', 'than', 'Trump']"
115,117,Donald Trump,No Shots,7L & Esoteric,positive,money,2010,It's like Trump in your crib countin' money with you,http://genius.com/7l-no-shots-lyrics,343,2010-10-12,True,2010,"[""It's"", 'like', 'Trump', 'in', 'your', 'crib', ""countin'"", 'money', 'with', 'you']"
116,118,Donald Trump,Skypager,A Tribe Called Quest,positive,money,1991,Beeper's goin off like Don Trump gets checks,http://genius.com/A-tribe-called-quest-skypager-lyrics,16871,1991-09-24,True,1991,"[""Beeper's"", 'goin', 'off', 'like', 'Don', 'Trump', 'gets', 'checks']"
117,119,Donald Trump,Dolly and the Rat Trap,Ultramagnetic MC's,neutral,money,1992,Look at Donald Trump!,http://genius.com/Ultramagnetic-mcs-dolly-and-the-rat-trap-lyrics,172,,,1992,"['Look', 'at', 'Donald', 'Trump!']"
118,120,Donald Trump,The Coup,The Coup,negative,political,1993,"Break yourself Trump, it's collection day",http://genius.com/The-coup-the-coup-lyrics,1735,,,1993,"['Break', 'yourself', 'Trump', ""it's"", 'collection', 'day']"
119,121,Donald Trump,Give It Up Fast,Nas,positive,hotel,1996,I need a suite with the flowers complimentary at Trump Towers,http://genius.com/Mobb-deep-give-it-up-fast-lyrics,17257,1996-11-19,True,1996,"['I', 'need', 'a', 'suite', 'with', 'the', 'flowers', 'complimentary', 'at', 'Trump', 'Towers']"
120,122,Donald Trump,Trailer,Ace Hood,positive,money,2013,"I'm trying to get richer than Trump, a couple million for lunch",http://genius.com/Ace-hood-trailer-lyrics,10259,,,2013,"[""I'm"", 'trying', 'to', 'get', 'richer', 'than', 'Trump', 'a', 'couple', 'million', 'for', 'lunch']"
121,123,Donald Trump,The Ebonic Plague,Ras Kass,neutral,,1997,Donald Trump wouldn't let you shine his shoes my man,http://genius.com/Cru-the-ebonic-plague-lyrics,284,,,1997,"['Donald', 'Trump', ""wouldn't"", 'let', 'you', 'shine', 'his', 'shoes', 'my', 'man']"
122,124,Donald Trump,Yeah Yeah Yeah,Akala,positive,money,2006,"It amazes me, these rappers are so dumb / Get they advance and think they Trump",http://genius.com/Akala-yeah-yeah-yeah-lyrics,733,,,2006,"['It', 'amazes', 'me', 'these', 'rappers', 'are', 'so', 'dumb', '/', 'Get', 'they', 'advance', 'and', 'think', 'they', 'Trump']"
123,125,Donald Trump,Boughetto,Ali,positive,money,2002,"Trump money, but it's still the motel and Kyjuan",http://genius.com/Ali-boughetto-lyrics,1360,2002-03-28,True,2002,"['Trump', 'money', 'but', ""it's"", 'still', 'the', 'motel', 'and', 'Kyjuan']"
124,126,Donald Trump,Mafioso,Kool G. Rap,positive,hotel,1998,Can't stop until I got a Casa up in Trump plaza,http://genius.com/Kool-g-rap-mafioso-lyrics,572,1998-10-20,True,1998,"[""Can't"", 'stop', 'until', 'I', 'got', 'a', 'Casa', 'up', 'in', 'Trump', 'plaza']"
125,127,Donald Trump,Soldiers,Master P,neutral,,1998,Follow me dumpin' n----s study humpin' I ain't Donald Trump,http://genius.com/C-murder-soldiers-lyrics,1092,1998-03-17,True,1998,"['Follow', 'me', ""dumpin'"", 'n----s', 'study', ""humpin'"", 'I', ""ain't"", 'Donald', 'Trump']"
126,128,Donald Trump,Turn It Into Somethin',Frost,positive,hotel,1999,Real G's posted up at the Trump Towers,http://genius.com/Frost-turn-it-into-somethin-lyrics,214,,,1999,"['Real', ""G's"", 'posted', 'up', 'at', 'the', 'Trump', 'Towers']"
127,129,Donald Trump,Fire,Makeba Mooncycle,neutral,,1999,Playin Donald Trump for the mic with this,http://genius.com/Royal-fam-fire-lyrics,152,,,1999,"['Playin', 'Donald', 'Trump', 'for', 'the', 'mic', 'with', 'this']"
128,130,Donald Trump,Ba Bump,Black Eyed Peas,positive,money,2006,And if you got money fellas keep it like Trump,http://genius.com/Black-eyed-peas-ba-bump-lyrics,1364,2005-05-25,False,2005,"['And', 'if', 'you', 'got', 'money', 'fellas', 'keep', 'it', 'like', 'Trump']"
129,131,Donald Trump,Open Your Mind,Black The Ripper,positive,money,2013,"Who am I kidding, I'm try'na live lavish like Trump",http://genius.com/Black-the-ripper-open-your-mind-lyrics,536,,,2013,"['Who', 'am', 'I', 'kidding', ""I'm"", ""try'na"", 'live', 'lavish', 'like', 'Trump']"
