id,candidate,song,artist,sentiment,theme,album_release_date,line,url,lyrics_views,track_release_date,years_match,corrected_release_year,split_lyrics
71,Hillary Clinton,Let's Stay Together,Ludacris,negative,personal,2008,"Hillary's still with Bill Clinton, how do they do it? / He got his dick sucked and the whole damn WORLD knew it",http://genius.com/Ludacris-lets-stay-together-lyrics,1483,11/24/08,TRUE,2008,"[""Hillary's"", 'still', 'with', 'Bill', 'Clinton', 'how', 'do', 'they', 'do', 'it?', '/', 'He', 'got', 'his', 'dick', 'sucked', 'and', 'the', 'whole', 'damn', 'WORLD', 'knew', 'it']"
72,Hillary Clinton,Politics as Usual (Obama Is Here),Ludacris,negative,political,2008,Hillary hated on you so that {censored} bitch is irrelevant,http://genius.com/Ludacris-politics-as-usual-obama-is-here-lyrics,1617,,,2008,"['Hillary', 'hated', 'on', 'you', 'so', 'that', '{censored}', 'bitch', 'is', 'irrelevant']"
73,Hillary Clinton,The Ghetto Won't Change,Master P,negative,political,1996,"Every dollar I make, ten go back to Hillary and Bill, I guess life is real",http://genius.com/Master-p-the-ghetto-wont-change-lyrics,575,4/16/96,TRUE,1996,"['Every', 'dollar', 'I', 'make', 'ten', 'go', 'back', 'to', 'Hillary', 'and', 'Bill', 'I', 'guess', 'life', 'is', 'real']"
74,Hillary Clinton,Bitch I'm Bill Clinton,Lil B,positive,political,2010,"Shout-outs to Hillary Clinton, you gonna win that presidency",http://genius.com/Lil-b-bitch-im-bill-clinton-lyrics,23742,11/9/10,TRUE,2010,"['Shout-outs', 'to', 'Hillary', 'Clinton', 'you', 'gonna', 'win', 'that', 'presidency']"
75,Hillary Clinton,Fuck the Government,Mediumjay,negative,political,2012,"Fuck, The Governments Shit / Fuck, Hillary Clinton that Bitch",http://genius.com/Mediumjay-fuck-the-government-lyrics,1534,,,2012,"['Fuck', 'The', 'Governments', 'Shit', '/', 'Fuck', 'Hillary', 'Clinton', 'that', 'Bitch']"
76,Hillary Clinton,Cradle Rock,Method Man,negative,political,1998,Bad vibes filling me with thoughts of conspiracy / White Water scandals with Bill Clinton/Hillary,http://genius.com/Method-man-cradle-rock-lyrics,4880,11/10/98,TRUE,1998,"['Bad', 'vibes', 'filling', 'me', 'with', 'thoughts', 'of', 'conspiracy', '/', 'White', 'Water', 'scandals', 'with', 'Bill', 'Clinton/Hillary']"
77,Hillary Clinton,Vietnam,Mickey Factz,neutral,political,2008,Nothing against Hilary Clinton / But Obama's about to be winning,http://genius.com/Mickey-factz-vietnam-lyrics,919,,,2008,"['Nothing', 'against', 'Hilary', 'Clinton', '/', 'But', ""Obama's"", 'about', 'to', 'be', 'winning']"
78,Hillary Clinton,A Thing for Me,G-Eazy,neutral,personal,2011,"Liberally, accepting Monicas but missing Hillary",http://genius.com/G-eazy-a-thing-for-me-lyrics,12124,3/31/11,TRUE,2011,"['Liberally', 'accepting', 'Monicas', 'but', 'missing', 'Hillary']"
79,Hillary Clinton,Poizon Windz,Monsta Island Czars,neutral,,2003,"Head essential lightning agency throats, thinkin of Hilary Clinton",http://genius.com/Monsta-island-czars-poizon-windz-lyrics,302,2/18/03,TRUE,2003,"['Head', 'essential', 'lightning', 'agency', 'throats', 'thinkin', 'of', 'Hilary', 'Clinton']"
80,Hillary Clinton,Little This Little That,Naj Murph,neutral,personal,2013,I need a Hillary so let me know if you fit the bill; when we chill,http://genius.com/Naj-murph-little-this-little-that-lyrics,1005,,,2013,"['I', 'need', 'a', 'Hillary', 'so', 'let', 'me', 'know', 'if', 'you', 'fit', 'the', 'bill;', 'when', 'we', 'chill']"
